neuromere,bodyId,group_var,major_class,subclass_level1,morphology_cluster,morphology_cluster_id,legacy_tag,type,instance,class,subclass,hemilineage,somaNeuromere,somaSide,rootSide,longTract,birthtime
T2R,14423,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B074,IN04B074_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,15109,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B081,IN04B081_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,16396,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B103,IN04B103_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,21120,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B092,IN04B092_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,21459,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B103,IN04B103_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,22132,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B104,IN04B104_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,22342,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B103,IN04B103_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,22780,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B081,IN04B081_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,23973,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B108,IN04B108_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,24986,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B108,IN04B108_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,27855,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B108,IN04B108_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,155096,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B103,IN04B103_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,18335,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B081,IN04B081_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,18663,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B081,IN04B081_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,20650,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B081,IN04B081_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,19071,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B089,IN04B089_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,20556,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B097,IN04B097_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,21272,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B102,IN04B102_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,22793,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B102,IN04B102_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,23358,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B102,IN04B102_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,24942,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B112,IN04B112_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,25864,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B109,IN04B109_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,23309,ir_1_5_ids,IR,1,5,IR_1_5,04B,IN04B099,IN04B099_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
T2R,101038,ir_1_5_ids,IR,1,5,IR_1_5,04B,IN04B061,IN04B061_T2_R,intrinsic neuron,IR,04B,T2,RHS,,,secondary
